"Device Name","Price","Storage","Rating"
"APPLE iPhone 8 Plus (Space Grey, 64 GB)","49900.0","64","3430"
"APPLE iPhone 8 Plus (Gold, 64 GB)","49900.0","64","3430"
"APPLE iPhone 8 Plus (Silver, 64 GB)","49900.0","64","3430"
"Apple iPhone SE (Black, 256 GB) (Includes EarPods, Power Adapter)","47999.0","256","94840"
"Apple iPhone SE (White, 256 GB) (Includes EarPods, Power Adapter)","47999.0","256","94840"
"Apple iPhone SE (Red, 256 GB) (Includes EarPods, Power Adapter)","47999.0","256","94840"
"Apple iPhone XR (Black, 128 GB) (Includes EarPods, Power Adapter)","46999.0","128","78785"
"Apple iPhone XR ((PRODUCT)RED, 128 GB) (Includes EarPods, Power Adapter)","46999.0","128","78785"
"Apple iPhone XR (White, 128 GB) (Includes EarPods, Power Adapter)","46999.0","128","78785"
"Apple iPhone XR (Coral, 128 GB) (Includes EarPods, Power Adapter)","46999.0","128","78785"
"Apple iPhone XR (Black, 64 GB) (Includes EarPods, Power Adapter)","41999.0","64","78785"
"Apple iPhone XR (White, 64 GB) (Includes EarPods, Power Adapter)","41999.0","64","78785"
"Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)","41999.0","64","78785"
"Apple iPhone XR (Coral, 64 GB) (Includes EarPods, Power Adapter)","41999.0","64","78785"
"Apple iPhone XR ((PRODUCT)RED, 64 GB) (Includes EarPods, Power Adapter)","41999.0","64","78785"
"APPLE iPhone SE (White, 128 GB)","37999.0","128","94840"
"APPLE iPhone SE (Red, 128 GB)","37999.0","128","94840"
"APPLE iPhone SE (Black, 128 GB)","37999.0","128","94840"
"Apple iPhone SE (White, 128 GB) (Includes EarPods, Power Adapter)","37999.0","128","94840"
"Apple iPhone SE (Red, 128 GB) (Includes EarPods, Power Adapter)","37999.0","128","94840"
"APPLE iPhone SE (White, 64 GB)","32999.0","64","94840"
"APPLE iPhone SE (Black, 64 GB)","32999.0","64","94840"
"Apple iPhone SE (White, 64 GB) (Includes EarPods, Power Adapter)","32999.0","64","94840"
"Apple iPhone SE (Black, 64 GB) (Includes EarPods, Power Adapter)","32999.0","64","94840"
